peak_times,stride_times,swing_times,swing_ang_range,peak_values,freeze_index_all_steps,leg_vector,swing_time_asymmetry,stride_time_CV_arrhythmicity,swing_time_CV,model_freeze_probas,model_freeze_labels,peak_times_ced
562.7699155,1.34366399999999,0.296855999999934,35.2146872855878,191.867129723997,0.568603710727854,1,20.8155760348654,0.0510985127230682,0.222365049326068,0.271024855446811,0,622.087679
563.3714395,1.25773199999992,0.328104000000053,39.902710724992,166.872962501413,1.12027821087079,0,18.3664740340296,0.0426382726141675,0.21739693779772,0.213545377936538,0,622.689203
563.9963995,1.22648399999991,0.312479999999937,38.1842095710304,194.676890001715,0.804508674090125,1,19.6998271209667,0.0500328818414124,0.209220111777303,0.234070747140022,0,623.314163
564.6994795,1.32803999999999,0.320291999999995,38.998681920969,182.149625753467,0.832849094234219,0,20.5095481442229,0.0375387287332304,0.207447082054629,0.222480066047648,0,624.017243
565.3244395,1.3280400000001,0.304667999999992,39.4399192020095,208.169568083796,1.56990581304829,1,5.00104205749133,0.0386884071388253,0.025015634771737,0.217427352658979,0,624.642203
566.0275195,1.3280400000001,0.328104000000053,40.4564266421204,190.235939699486,1.49594488169032,0,6.61398025047978,0.0400398911258348,0.0197487160508431,0.207509337964413,0,625.345283
566.6681035,1.34366399999999,0.312479999999937,36.4684218438078,188.61543977678,1.80918651254332,1,4.91902441910193,0.0400398911258348,0.0142057276318255,0.25090414495327,0,625.985867
567.4727395,1.44521999999995,0.390600000000063,43.6879606507917,184.580956966062,8.0081100623129,0,11.1225635110475,0.0492261315081026,0.0629115416456981,0.181265525328831,0,626.790503
568.1133235,1.44521999999995,0.304667999999992,44.523097157696,225.698084778193,0.735083944274423,1,11.9664503756281,0.0479253509403132,0.0629732155813036,0.173424288088352,0,627.431087
568.7929675,1.32022800000004,0.35154,41.8875267606505,176.327225781012,6.39823454690791,0,14.9296301362654,0.0488388856463142,0.0515886715231798,0.196494042542446,0,628.110731
569.5897915,1.47646799999995,0.335915999999997,42.5174548041095,206.181889332486,1.24241953614851,1,11.5959881095054,0.0500752342023305,0.0698437272778923,0.192937863354438,0,628.907555
